lab_id,model_id,std_ang,std_dis,std_fea,std_hap,std_neu,std_sad,std_sur,unstd_neu,age,ethnicity,ethnicity_rec,face_shape,face_shape-specific,gender,gender_rec,height,height_units,height_cm,weight,weight_units,weight_kg,makeup_blush,makeup_concealer,makeup_eyebrow,makeup_eyelashes,makeup_eyes,makeup_foundation,makeup_lips,makeup_permanent,makeup_semipermanent
MF0018,0007,1,1,1,1,1,1,1,1,33,serbian,White,1,NA,f,female,173,cm,173,73,kg,73,1,1,1,1,1,1,1,1,1
MF0018,0008,1,1,1,1,1,1,1,1,37,serbian,White,1,NA,m,male,190,cm,190,72,kg,72,1,1,1,1,1,1,1,1,1
MF0018,0009,1,1,1,1,1,1,1,0,26,serbian,White,1,NA,f,female,159,cm,159,54,kg,54,1,1,1,1,1,1,1,2,1
MF0018,0010,1,1,1,1,1,1,1,1,27,serbian,White,1,NA,f,female,175,cm,175,58,kg,58,1,1,1,1,1,1,1,1,1
MF0018,0011,1,1,1,1,1,1,1,1,22,serbian,White,1,NA,m,male,170,cm,170,80,kg,80,1,1,1,1,1,1,1,1,1
MF0021,0001,1,1,1,1,1,1,1,1,25,romanian,White,1,NA,f,female,161,cm,161,54,kg,54,1,1,1,1,1,1,1,1,1
MF0021,0002,1,1,1,1,1,1,1,1,23,pakistani,Asian,2,Nose operation,female,female,150,cm,150,55,kg,55,1,1,1,1,1,1,1,1,1
MF0021,0003,0,0,0,1,1,0,0,1,21,white - other,White,1,NA,female,female,165,cm,165,65,kg,65,1,1,1,1,1,1,1,1,1
MF0021,0004,1,1,1,1,1,1,1,1,20,pakistani,Asian,1,NA,male,male,170,cm,170,71,kg,71,1,1,1,1,1,1,1,1,1
MF0021,0005,0,0,0,1,1,1,1,1,19,indian,Asian,1,NA,female,female,153,cm,153,50,kg,50,1,1,1,1,1,1,1,1,1
MF0021,0006,1,1,1,1,1,1,1,1,19,indian,Asian,1,NA,female,female,169,cm,169,65,kg,65,1,1,1,1,1,1,1,1,1
MF0021,0007,1,1,1,1,1,1,1,1,20,indian,Asian,1,NA,female,female,160,cm,160,63,kg,63,1,1,1,1,1,1,1,1,1
MF0021,0008,1,1,1,1,1,1,1,1,20,british indian,Asian,1,NA,male,male,177,cm,177,60,kg,60,1,1,1,1,1,1,1,1,1
MF0021,0009,1,1,1,1,1,1,1,1,32,black,Black,1,NA,male,male,180,cm,180,95,kg,95,1,1,1,1,1,1,1,1,1
MF0021,0010,1,1,1,1,1,1,1,1,19,indian,Asian,1,NA,male,male,68,in,172.72,61,kg,61,1,1,1,1,1,1,1,1,1
MF0022,0001,0,0,0,1,1,0,0,1,36,white british,White,1,NA,m,male,185,cm,185,85,kg,85,1,1,1,1,1,1,1,1,1
